,,"Date : Monday, 18 August 2029",,,,,
S.No,District,Total School,Reported School,Total Enrolment,Reported School Enrolment,Meals Served,Meals not Served
1,AMRITSAR,1299,1297 (99.85 %),151057,150927,115001 (76.20 %),35926 (23.80 %)
2,BARNALA,302,301 (99.67 %),35127,35086,26547 (75.66 %),8539 (24.34 %)
3,BATHINDA,689,682 (98.98 %),105159,104012,67329 (64.73 %),36683 (35.27 %)
4,FARIDKOT,408,393 (96.32 %),45745,44403,32120 (72.34 %),12283 (27.66 %)
5,FATEHGARH SAHIB,661,659 (99.70 %),39371,39327,29412 (74.79 %),9915 (25.21 %)
6,FAZILKA,712,712 (100 %),98243,98243,73708 (75.03 %),24535 (24.97 %)
7,FIROZPUR,852,848 (99.53 %),80294,80080,50790 (63.42 %),29290 (36.58 %)
8,GURDASPUR,1569,1563 (99.62 %),91006,90558,67811 (74.88 %),22747 (25.12 %)
9,HOSHIARPUR,1747,1747 (100 %),110235,110235,77697 (70.48 %),32538 (29.52 %)
10,JALANDHAR,1435,1431 (99.72 %),130796,130360,92478 (70.94 %),37882 (29.06 %)
11,KAPURTHALA,800,800 (100 %),54398,54398,39158 (71.98 %),15240 (28.02 %)
12,LUDHIANA,1581,1574 (99.56 %),249352,248410,167441 (67.41 %),80969 (32.59 %)
13,MALERKOTLA,293,292 (99.66 %),26943,26925,19730 (73.28 %),7195 (26.72 %)
14,MANSA,496,496 (100 %),58325,58325,42343 (72.60 %),15982 (27.40 %)
15,MOGA,607,606 (99.84 %),68546,68484,49665 (72.52 %),18819 (27.48 %)
16,PATHANKOT,543,543 (100 %),31914,31914,23444 (73.46 %),8470 (26.54 %)
17,PATIALA,1340,1335 (99.63 %),123336,122680,87376 (71.22 %),35304 (28.78 %)
18,RUPNAGAR,835,832 (99.64 %),46150,45996,36315 (78.95 %),9681 (21.05 %)
19,S.A.S NAGAR,659,657 (99.70 %),89812,89689,67878 (75.68 %),21811 (24.32 %)
20,SANGRUR,754,748 (99.20 %),71187,70886,52101 (73.50 %),18785 (26.50 %)
21,SHAHID BHAGAT SINGH,652,651 (99.85 %),44295,44290,33279 (75.14 %),11011 (24.86 %)
22,SRI MUKTSAR SAHIB,556,556 (100 %),71741,71741,47956 (66.85 %),23785 (33.15 %)
23,TARAN TARAN,784,765 (97.58 %),83190,81295,64327 (79.13 %),16968 (20.87 %)
,TOTAL,19574,19488 (99.56 %),1906222,1898264,1363906 (71.85 %),534358 (28.15 %)
