,,,"Date : Wednesday, 20 August 2025",,,,
S.No,District,Total School,Reported School,Total Enrolment,Reported School Enrolment,Meals Served,Meals not Served
1,AMRITSAR ,1299,1295 (99.69 %) ,151057,150838,115232 (76.39 %) ,35606 (23.61 %)
2,BARNALA ,302,10 (3.31 %) ,35127,939,0 (0 %) ,939 (100 %)
3,BATHINDA ,689,662 (96.08 %) ,105159,101665,68328 (67.21 %) ,33337 (32.79 %)
4,FARIDKOT ,408,401 (98.28 %) ,45745,45184,33833 (74.88 %) ,11351 (25.12 %)
5,FATEHGARH SAHIB ,661,660 (99.85 %) ,39371,39366,29702 (75.45 %) ,9664 (24.55 %)
6,FAZILKA ,712,712 (100 %) ,98243,98243,76004 (77.36 %) ,22239 (22.64 %)
7,FIROZPUR ,852,850 (99.77 %) ,80294,80186,58571 (73.04 %) ,21615 (26.96 %)
8,GURDASPUR ,1569,1559 (99.36 %) ,91006,90378,65741 (72.74 %) ,24637 (27.26 %)
9,HOSHIARPUR ,1747,1747 (100 %) ,110235,110235,76600 (69.49 %) ,33635 (30.51 %)
10,JALANDHAR ,1435,1430 (99.65 %) ,130796,130329,98341 (75.46 %) ,31988 (24.54 %)
11,KAPURTHALA ,800,800 (100 %) ,54398,54398,38338 (70.48 %) ,16060 (29.52 %)
12,LUDHIANA ,1581,1560 (98.67 %) ,249352,246056,169343 (68.82 %) ,76713 (31.18 %)
13,MALERKOTLA ,293,293 (100 %) ,26943,26943,19943 (74.02 %) ,7000 (25.98 %)
14,MANSA ,496,496 (100 %) ,58325,58325,43170 (74.02 %) ,15155 (25.98 %)
15,MOGA ,607,606 (99.84 %) ,68546,68484,51076 (74.58 %) ,17408 (25.42 %)
16,PATHANKOT ,543,542 (99.82 %) ,31914,31797,21946 (69.02 %) ,9851 (30.98 %)
17,PATIALA ,1340,1335 (99.63 %) ,123336,123026,90743 (73.76 %) ,32283 (26.24 %)
18,RUPNAGAR ,835,826 (98.92 %) ,46150,45634,36776 (80.59 %) ,8858 (19.41 %)
19,S.A.S NAGAR ,659,656 (99.54 %) ,89812,89463,70057 (78.31 %) ,19406 (21.69 %)
20,SANGRUR ,754,282 (37.40 %) ,71187,24491,0 (0 %) ,24491 (100 %)
21,SHAHID BHAGAT SINGH ,652,651 (99.85 %) ,44295,44290,33622 (75.91 %) ,10668 (24.09 %)
22,SRI MUKTSAR SAHIB ,556,556 (100 %) ,71741,71741,50152 (69.91 %) ,21589 (30.09 %)
23,TARAN TARAN ,784,750 (95.66 %) ,83190,80311,63563 (79.15 %) ,16748 (20.85 %)
,TOTAL ,19574,18679 (95.43 %) ,1906222,1812322,1311081 (72.34 %) ,501241 (27.66 %)
