,,,"Date : Thursday, 11 September 2025",,,,,
S.No.,District,Meals not served,No Ration,Funds,No cook,Food not arrived,Holidays,Others
1,AMRITSAR ,64,0,0,0,0,55,9
2,BARNALA ,3,0,0,0,0,3,0
3,BATHINDA ,1,0,0,0,0,0,1
4,FAZILKA ,35,0,0,0,0,32,3
5,FIROZPUR ,23,0,0,0,0,15,8
6,GURDASPUR ,56,2,0,0,1,30,23
7,HOSHIARPUR ,13,0,0,0,0,5,8
8,JALANDHAR ,14,0,0,0,0,6,8
9,KAPURTHALA ,27,0,0,0,0,18,9
10,MANSA ,8,0,0,0,0,6,2
11,MOGA ,3,0,0,0,0,2,1
12,PATHANKOT ,3,0,0,0,0,0,3
13,PATIALA ,7,0,0,0,0,4,3
14,RUPNAGAR ,1,0,0,0,0,1,0
15,SANGRUR ,54,0,0,0,0,53,1
16,SHAHID BHAGAT ,13,0,0,0,0,4,9
17,TARAN TARAN ,1,0,0,0,0,0,1
,TOTAL ,326,2,0,0,1,234,89
