,,,"Date : Friday, 12 September 2025",,,,,
S.No.,District,Meals not served,No Ration,Funds,No cook,Food not arrived,Holidays,Others
1,AMRITSAR ,166,0,0,0,0,155,11
2,BARNALA ,11,0,0,0,0,11,0
3,BATHINDA ,12,0,0,0,0,11,1
4,FARIDKOT ,26,0,0,0,0,26,0
5,FATEHGARH SAHIB ,9,0,0,0,0,9,0
6,FAZILKA ,508,0,0,0,0,503,5
7,FIROZPUR ,42,0,0,0,0,35,7
8,GURDASPUR ,112,3,0,0,1,89,19
9,HOSHIARPUR ,62,0,0,0,0,55,7
10,JALANDHAR ,170,0,0,0,0,160,10
11,KAPURTHALA ,66,0,0,0,0,58,8
12,LUDHIANA ,39,0,0,0,0,39,0
13,MALERKOTLA ,25,0,0,0,0,22,3
14,MANSA ,25,0,0,0,0,24,1
15,MOGA ,97,0,0,0,0,94,3
16,PATHANKOT ,17,0,0,0,0,15,2
17,PATIALA ,164,0,0,0,0,161,3
18,RUPNAGAR ,12,0,0,0,0,12,0
19,S.A.S NAGAR ,4,0,0,0,0,4,0
20,SANGRUR ,108,0,0,0,0,106,2
21,SHAHID BHAGAT ,154,0,0,0,0,149,5
22,SRI MUKTSAR SAHIB ,17,0,0,0,0,16,1
23,TARAN TARAN ,25,0,0,0,0,24,1
,TOTAL ,1871,3,0,0,1,1778,89
