,,,"Date : Monday, 15 September 2025",,,,,
S.No.,District,Meals not served,No Ration,Funds,No cook,Food not arrived,Holidays,Others
1,AMRITSAR ,52,0,0,0,0,28,24
2,BATHINDA ,1,0,0,0,0,0,1
3,FAZILKA ,32,0,0,0,0,29,3
4,FIROZPUR ,14,0,0,0,0,8,6
5,GURDASPUR ,31,13,0,0,0,5,13
6,HOSHIARPUR ,3,0,0,0,0,1,2
7,JALANDHAR ,5,0,0,0,0,1,4
8,KAPURTHALA ,12,0,0,0,0,8,4
9,MANSA ,1,0,0,0,0,0,1
10,MOGA ,1,0,0,0,0,0,1
11,PATHANKOT ,2,0,0,0,0,0,2
12,PATIALA ,2,0,0,0,0,0,2
13,RUPNAGAR ,1,0,0,0,0,1,0
14,SANGRUR ,1,0,0,0,0,0,1
15,SHAHID BHAGAT ,7,0,0,0,0,2,5
,TOTAL ,165,13,0,0,0,83,69
