,,,"Date : Wednesday, 17 September 2025",,,,,
S.No.,District,Meals not served,No Ration,Funds,No cook,Food not arrived,Holidays,Others
1,AMRITSAR ,43,1,0,0,0,40,2
2,BATHINDA ,1,0,0,0,0,0,1
3,FARIDKOT ,1,0,0,0,0,1,0
4,FAZILKA ,15,0,0,0,0,13,2
5,FIROZPUR ,12,0,0,0,0,7,5
6,GURDASPUR ,91,6,0,1,0,70,14
7,HOSHIARPUR ,3,0,0,0,0,2,1
8,JALANDHAR ,5,0,0,0,0,0,5
9,KAPURTHALA ,7,0,0,0,0,5,2
10,LUDHIANA ,1,0,0,0,0,1,0
11,MOGA ,1,0,0,0,0,0,1
12,PATHANKOT ,1,0,0,0,0,0,1
13,PATIALA ,1,0,0,0,0,0,1
14,RUPNAGAR ,1,0,0,0,0,1,0
15,SHAHID BHAGAT ,3,0,0,0,0,0,3
,TOTAL ,186,7,0,1,0,140,38
