,,,"Date : Monday, 25 August 2025",,,,,
S.No.,District,Meals not served,No Ration,Funds,No cook,Food not arrived,Holidays,Others
1,AMRITSAR ,1,0,0,0,0,1,0
2,BARNALA ,4,0,0,0,0,1,3
3,BATHINDA ,2,0,0,0,0,1,1
4,FAZILKA ,3,0,0,0,0,0,3
5,FIROZPUR ,8,0,0,0,0,4,4
6,GURDASPUR ,7,0,0,0,0,2,5
7,HOSHIARPUR ,8,0,0,0,0,0,8
8,JALANDHAR ,5,0,0,0,0,0,5
9,KAPURTHALA ,11,0,0,0,0,1,10
10,LUDHIANA ,3,0,0,0,0,2,1
11,MALERKOTLA ,2,0,0,0,0,0,2
12,MANSA ,12,0,0,0,0,1,11
13,MOGA ,1,0,0,0,0,0,1
14,PATHANKOT ,362,0,0,0,0,357,5
15,PATIALA ,3,0,0,0,0,0,3
16,RUPNAGAR ,1,0,0,0,0,1,0
17,SANGRUR ,9,0,0,0,0,0,9
18,SHAHID BHAGAT ,3,0,0,0,0,0,3
19,TARAN TARAN ,1,0,0,0,0,0,1
,TOTAL ,446,0,0,0,0,371,75
