,,,"Date : Tuesday, 09 September 2025",,,,,
S.No.,District,Meals not served,No Ration,Funds,No cook,Food not arrived,Holidays,Others
1,AMRITSAR ,147,0,0,0,0,123,24
2,BARNALA ,5,0,0,0,0,5,0
3,BATHINDA ,1,0,0,0,0,0,1
4,FAZILKA ,35,0,0,0,0,30,5
5,FIROZPUR ,31,0,0,0,0,25,6
6,GURDASPUR ,66,3,0,0,0,39,24
7,HOSHIARPUR ,40,0,0,0,0,6,34
8,JALANDHAR ,48,0,0,0,0,36,12
9,KAPURTHALA ,38,0,0,0,0,25,13
10,LUDHIANA ,11,0,0,0,0,5,6
11,MANSA ,8,0,0,0,0,6,2
12,MOGA ,3,0,0,0,0,2,1
13,PATHANKOT ,17,0,0,0,0,9,8
14,PATIALA ,36,0,0,0,0,30,6
15,RUPNAGAR ,11,0,0,0,0,8,3
16,S.A.S NAGAR ,1,0,0,0,0,0,1
17,SANGRUR ,70,0,0,0,0,54,16
18,SHAHID BHAGAT ,16,0,0,0,0,4,12
,TOTAL ,584,3,0,0,0,407,174
